date,T,stock_price,r,q,sigma
2022/9/1,78,157.96,3.51%,0.15%,22.92%
2022/9/2,77,155.81,3.47%,0.15%,23.25%
2022/9/6,73,154.53,3.61%,0.15%,23.31%
2022/9/7,72,155.96,3.60%,0.15%,23.71%
2022/9/8,71,154.46,3.60%,0.15%,23.80%
2022/9/9,70,157.37,3.67%,0.15%,22.82%
2022/9/12,67,163.43,3.70%,0.14%,26.88%
2022/9/13,66,153.84,3.92%,0.15%,32.47%
2022/9/14,65,155.31,3.95%,0.15%,32.63%
2022/9/15,64,152.37,4.00%,0.15%,32.93%
2022/9/16,63,150.7,3.96%,0.15%,32.53%
2022/9/19,60,154.48,4.05%,0.15%,34.31%
2022/9/20,59,156.9,4.03%,0.15%,34.88%
2022/9/21,58,153.72,4.08%,0.15%,34.70%
2022/9/22,57,152.74,4.08%,0.15%,34.70%
2022/9/23,56,150.43,4.15%,0.15%,34.82%
2022/9/26,53,150.77,4.17%,0.15%,34.19%
2022/9/27,52,151.76,4.16%,0.15%,32.28%
2022/9/28,51,149.84,3.99%,0.15%,32.24%
2022/9/29,50,142.48,3.98%,0.16%,35.90%
2022/9/30,49,138.2,4.05%,0.17%,36.91%
2022/10/3,46,142.45,4.01%,0.16%,38.86%
2022/10/4,45,146.1,4.15%,0.16%,40.06%
2022/10/5,44,146.4,4.14%,0.16%,40.06%
2022/10/6,43,145.43,4.19%,0.16%,39.85%
2022/10/7,42,140.09,4.24%,0.16%,41.51%
2022/10/10,39,140.42,4.24%,0.16%,40.74%
2022/10/11,38,138.98,4.28%,0.17%,37.63%
2022/10/12,37,138.34,4.28%,0.17%,32.41%
2022/10/13,36,142.99,4.46%,0.16%,34.67%
2022/10/14,35,138.38,4.50%,0.17%,35.72%
2022/10/17,32,142.41,4.50%,0.16%,37.42%
2022/10/18,31,143.75,4.50%,0.16%,36.37%
2022/10/19,30,143.86,4.60%,0.16%,35.76%
2022/10/20,29,143.39,4.66%,0.16%,35.26%
2022/10/21,28,147.27,4.58%,0.16%,36.72%
2022/10/24,25,149.45,4.61%,0.15%,36.80%
2022/10/25,24,152.34,4.60%,0.15%,37.40%
2022/10/26,23,149.35,4.54%,0.15%,37.97%
2022/10/27,22,144.8,4.50%,0.16%,39.19%
2022/10/28,21,155.74,4.50%,0.15%,42.91%
2022/10/31,18,153.34,4.66%,0.15%,41.69%
2022/11/1,17,150.65,4.75%,0.15%,41.33%
2022/11/2,16,145.03,4.76%,0.16%,42.75%
2022/11/3,15,138.88,4.75%,0.17%,45.23%
2022/11/4,14,138.38,4.76%,0.17%,45.20%
2022/11/7,11,138.92,4.78%,0.17%,43.40%
2022/11/8,10,139.5,4.77%,0.16%,43.42%
2022/11/9,9,134.87,4.75%,0.17%,44.83%
2022/11/10,8,146.87,4.59%,0.17%,53.83%
2022/11/11,7,149.7,4.63%,0.15%,53.06%
2022/11/14,4,148.28,4.63%,0.16%,51.73%
2022/11/15,3,150.04,4.60%,0.15%,51.02%
2022/11/16,2,148.79,4.62%,0.15%,51.09%
2022/11/17,1,150.72,4.68%,0.15%,51.23%